Categorie_template_2,Categorie_template_1,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34
,"Sovereigns, PSEs, MDBs; of which:","0,2031017028","0,03587012877","0,1232134653","0,2881833925","0,3424316552","0,4983114021","0,9510311028","0,2194273712","0,7292377816","0,1488431802","0,3926680643","0,2633963257","0,1489339279","0,03116650996","0,4479651393","0,6890537803","0,1760797373","0,8929687378","0,1323242175","0,8712570405","0,2446726899","0,8598874685","0,7710167929","0,840383751","0,4013135826","0,9121072171","0,2767355933","0,4360585929","0,09125205062","0,01774470834","0,5909615913","0,5348594434","0,4650132952","0,5476873153"
,sovereigns,"0,9330021017","0,3685131477","0,2311675927","0,1778419524","0,7846417483","0,1583041049","0,5656748951","0,4030752047","0,06029568346","0,7286952325","0,8303543571","0,369660239","0,05235027438","0,5606347134","0,5300677108","0,608412875","0,01552577631","0,4438071748","0,9973534073","0,2614899071","0,9323074194","0,5286537231","0,1622736674","0,7745100781","0,1368559144","0,3935562394","0,6648260756","0,5157808927","0,5636634747","0,4542431004","0,5356583773","0,5505671346","0,3452287995","0,4457931503"
,PSEs treated as sovereigns as per CRE20.12,"0,9484227439","0,276937608","0,203720945","0,7372658298","0,07864794061","0,4366264881","0,663710722","0,6104978596","0,8075915979","0,2788114437","0,9761125163","0,6434342405","0,71011901","0,2134139115","0,7507663601","0,8298195641","0,2914261409","0,9154712184","0,8851834906","0,8382871613","0,7983578018","0,3958925532","0,1444752498","0,9521627177","0,8785930574","0,4852753911","0,6758949385","0,7465012653","0,1862387915","0,3373798341","0,05116337992","0,9512402523","0,1231931718","0,4074917514"
,other PSEs,"0,7554422821","0,4030205052","0,4100061102","0,4648844606","0,1059863058","0,06437442814","0,674552174","0,1542226511","0,7602983702","0,3779498049","0,3967671702","0,967465464","0,921416033","0,09784563989","0,2362585961","0,1324284606","0,7308517867","0,1661499936","0,07268783615","0,8282534521","0,8693841791","0,2154667025","0,9534838069","0,6999005639","0,7234359512","0,8768438803","0,7858084852","0,09901660967","0,7294965736","0,4765086426","0,5712673821","0,3245261309","0,5451791623","0,3112582397"
,MDBs,"0,195414505","0,5263268356","0,4926350795","0,9460660818","0,5232167901","0,7830833239","0,2961013118","0,4091263911","0,7918201002","0,7417333992","0,4622450897","0,1287203668","0,3198815317","0,3284369992","0,7161498911","0,4065370604","0,2410383152","0,1614721849","0,7245921318","0,998797823","0,5497597612","0,2223124678","0,6900828712","0,6747910204","0,4366711514","0,9225068107","0,3770356741","0,5688686406","0,1119878577","0,3394637726","0,5523906927","0,7928541217","0,6096444698","0,5709996139"
,Banks (excluding covered bonds); of which:,"0,892560253","0,9016886499","0,8087085261","0,2164312709","0,1981534771","0,6961070021","0,1335584184","0,01323658531","0,9519119293","0,9923652398","0,9941444989","0,5958774399","0,1938424268","0,6004131381","0,04007521429","0,7537350078","0,712015458","0,4479786695","0,8275808382","0,4464877703","0,6758980778","0,9393400613","0,3782369332","0,2367767611","0,7115708132","0,1277549073","0,3535985771","0,2985667331","0,791539762","0,01786053934","0,7560538219","0,4215221403","0,6761130405","0,3739311472"
,Claims on banks belonging to the same institutional protection scheme ,"0,2436315921","0,7707733867","0,7387719927","0,08518596664","0,06685791394","0,3125586021","0,8874897288","0,1955096656","0,1034258192","0,5116200856","0,8900327388","0,01760331015","0,03786027922","0,0653363908","0,2761663926","0,33872194","0,8924223169","0,9696967613","0,6894401813","0,1770360532","0,7967299364","0,08468331479","0,823078322","0,2720459975","0,3783476486","0,09504367035","0,7574330741","0,8048135512","0,04964410693","0,8451223007","0,6720536067","0,4970894632","0,2132867687","0,7813017603"
,ECRA - jurisdictions where ratings are allowed; of which:,"0,06840562333","0,8244353228","0,2926159801","0,5472043773","0,5973394802","0,1475635405","0,5157872154","0,4930876794","0,9944486594","0,2143113341","0,7509945981","0,4626881425","0,3286567833","0,1468862713","0,1006648888","0,6526812117","0,2805876704","0,9567866754","0,4156471549","0,4601137018","0,6195133133","0,2257389804","0,8811222325","0,3739909538","0,5622035566","0,5023454536","0,7670831399","0,3302095487","0,6857051259","0,5652300402","0,5295738449","0,8236892225","0,008460325861","0,4661648978"
,ECRA (long term); of which:,"0,171273659","0,500987053","0,4713131457","0,266925047","0,5370252006","0,8781962053","0,8459220077","0,717089153","0,1701238848","0,8564204316","0,05825524439","0,2385303579","0,3954180709","0,3379695751","0,3353690011","0,8301994482","0,9356965013","0,8238652385","0,3852547186","0,5881221971","0,9154308732","0,5489809564","0,7831983304","0,2227021128","0,1326582208","0,9860377277","0,9393438205","0,3918541879","0,5525250794","0,5667521633","0,8377992749","0,9702397949","0,4262099475","0,05144220057"
ECRA_LT,AAA to AA- ,"0,7532120758","0,7108101713","0,8369488786","0,3858563832","0,670946617","0,454209237","0,788695907","0,3120925116","0,890592715","0,136029047","0,4380664572","0,6703202612","0,04365746985","0,5192925939","0,00228887588","0,4348214924","0,03635201583","0,9945386354","0,6237535847","0,5641030819","0,4611349756","0,665664693","0,4545821882","0,5499915812","0,6009274113","0,4356145667","0,6509608527","0,1568341925","0,1614055944","0,8037329583","0,5283672115","0,8697575417","0,6372860943","0,8024300314"
ECRA_LT,A+ to A-,"0,8204517221","0,8709057018","0,05719537475","0,2957232681","0,23015682","0,5826259325","0,1268668691","0,9376241409","0,3063422537","0,6994323661","0,3389433978","0,1576708074","0,7204894001","0,7942312356","0,03761156153","0,6575575799","0,4157839865","0,1268516845","0,528222821","0,4249798608","0,3080923396","0,8531323692","0,3915153908","0,5082100001","0,4562036058","0,8197366811","0,3196684081","0,4242075298","0,5596448837","0,9516851034","0,7333744364","0,205787647","0,04569618257","0,9007261408"
ECRA_LT,BBB+ to BBB-,"0,1930754483","0,9329584985","0,7352697532","0,9650037276","0,2961341566","0,6699602356","0,1537545796","0,671427013","0,9894995376","0,17684807","0,4197958353","0,9674331792","0,6415469817","0,08943156345","0,3476454901","0,2316117063","0,1951482674","0,2224583009","0,7072754369","0,283466487","0,7069639482","0,7228154624","0,06289359468","0,565580821","0,4804602114","0,1895711203","0,29498179","0,6950423931","0,1804977054","0,385275353","0,5359893944","0,104739512","0,1659732689","0,08188703423"
ECRA_LT,BB+ to B-,"0,8563096675","0,2345589488","0,9404812797","0,4644753688","0,1535742816","0,9354295012","0,5211957123","0,9059120314","0,3148520843","0,6682040601","0,8418770581","0,3413666425","0,0614480919","0,488801207","0,4698426985","0,6937034871","0,8017723374","0,8992762293","0,3392494439","0,9675572394","0,7833111864","0,5672937284","0,3334869634","0,156708484","0,5197268731","0,6736413205","0,4542994918","0,2289174253","0,1077401078","0,9675272622","0,3822315004","0,61805636","0,6548952743","0,5986618932"
ECRA_LT,below B-,"0,4822686875","0,2480985019","0,5036317989","0,02838141884","0,472449214","0,2622370014","0,9327962852","0,3616758421","0,7203295838","0,09080244639","0,8990521943","0,584255109","0,9436425477","0,3153918145","0,6641188616","0,8198954841","0,6962294899","0,9699618755","0,2864959984","0,8271931046","0,8089237852","0,8726944351","0,1377923779","0,09273082056","0,04752550272","0,6878391479","0,04943088904","0,3508319863","0,04221980451","0,2311142299","0,3379285435","0,05373566192","0,7195481039","0,9043158802"
,ECRA (short term); of which:,"0,4217208922","0,6058846485","0,3522333954","0,6979076409","0,5604959726","0,2153305417","0,8701546067","0,222801907","0,1649428176","0,3721941933","0,6942071001","0,6674509431","0,2741272084","0,5221415674","0,7821470673","0,7279598374","0,7796200082","0,9446082497","0,3528493524","0,1592374838","0,317014627","0,6111141317","0,8404874034","0,5018553896","0,7064529941","0,4339026225","0,8003860911","0,66354066","0,7897244657","0,5964633949","0,2181155882","0,3735223586","0,5710730202","0,2248800727"
ECRA_ST3,AAA to AA- ,"0,5624490067","0,4887650033","0,8966393044","0,9281072051","0,8023929562","0,5649865087","0,10715239","0,2893507202","0,03620294608","0,08542833221","0,1859421906","0,7691638605","0,7428783089","0,7605733386","0,8272587985","0,9894976386","0,7472330888","0,263749497","0,994942195","0,970020526","0,5516661121","0,577207379","0,2500252124","0,1442267141","0,7752357149","0,5532365628","0,285693032","0,9759141406","0,4599571265","0,694624679","0,09992744544","0,7296511215","0,7591237535","0,2339566229"
ECRA_ST,A+ to A-,"0,428861378","0,4838936225","0,2348492641","0,556507144","0,9999847215","0,5380136831","0,9214771888","0,4457127589","0,410467452","0,2002956543","0,4000597396","0,9828381293","0,4893710566","0,372798636","0,6966815337","0,209831219","0,7537547971","0,4536017113","0,1049534452","0,06788935997","0,513471647","0,07044909009","0,1855403942","0,7639078411","0,9426512471","0,8940050172","0,3706363313","0,1215218719","0,299907624","0,9981564227","0,9984899972","0,3124022722","0,2420038876","0,6303086527"
"ECRA_ST,0,",BBB+ to BBB-,"0,715954657","0,8746897277","0,1803037995","0,5628029776","0,490530262","0,7022320142","0,21601788","0,9225655329","0,8311603163","0,3453837901","0,8380223736","0,6085657234","0,5932884593","0,738889035","0,608158874","0,9598232867","0,7852474803","0,6462826428","0,1531107289","0,9693306884","0,2866817715","0,7616121603","0,3436015331","0,8069426093","0,7883645376","0,9714653248","0,6575886509","0,283653641","0,08295643157","0,4988919477","0,6289720631","0,6922311621","0,4192609941","0,6791281525"
ECRA_ST,BB+ to B-,"0,5678890579","0,05871705069","0,9951029847","0,3436994187","0,2554937391","0,5987589905","0,002506770204","0,263356803","0,6391240281","0,6872807912","0,9739126873","0,9695921001","0,2710166087","0,7172232187","0,6750788328","0,8117167055","0,2133864062","0,04177757299","0,9544084846","0,1775319017","0,5720540456","0,5001475489","0,2442237463","0,4314124094","0,04651937672","0,1587392651","0,4093719473","0,6517564091","0,7395535857","0,3001588806","0,4933665516","0,3549672839","0,1852029104","0,1660297488"
ECRA_ST,below B-,"0,8661346468","0,8461322923","0,126361","0,4415381281","0,1760788645","0,3630205956","0,8029938857","0,301404895","0,3201525905","0,2009904061","0,1215259508","0,408888209","0,3132383668","0,6652125504","0,255436334","0,2568235408","0,6197082391","0,5329795473","0,953886785","0,03690895174","0,7079998621","0,1462782001","0,8732126092","0,569255188","0,4340852283","0,6209212688","0,5507374615","0,5448601573","0,04207068442","0,4626738576","0,3076850654","0,8738849719","0,2312995297","0,1122558175"
,SCRA; of which:,"0,5276817882","0,3025549237","0,9198538813","0,2474660919","0,9737034653","0,6087183042","0,5539823088","0,2984109799","0,8614540602","0,8160557474","0,5456719786","0,7628005922","0,3811855808","0,9493717283","0,2676639794","0,5875777297","0,1419876963","0,688967337","0,5346371216","0,1084611731","0,05451202655","0,514118323","0,9646026619","0,7384130786","0,2127626144","0,4763645708","0,132410538","0,5995920953","0,4306230376","0,6139936977","0,7672285235","0,1165239316","0,007735412586","0,8208599769"
,SCRA (long term),"0,2329650549","0,1268141554","0,7335054321","0,999429785","0,6088165101","0,6009854071","0,2505302079","0,9994189052","0,9836112048","0,1964341314","0,2735016109","0,1112018918","0,1898583353","0,2903470583","0,3268567408","0,2799758629","0,8387319517","0,5315211423","0,743877682","0,1309575784","0,2175524735","0,1469087078","0,2213143316","0,6719041452","0,6990986861","0,6952422142","0,3508795601","0,3863932993","0,02374234423","0,6035848186","0,338707119","0,9702129664","0,8046559252","0,5072225513"
SCRA_LT,Grade A (30% risk weight),"0,02367293525","0,6707538036","0,2952201","0,3658875424","0,7053735011","0,5482936138","0,885941444","0,8792368351","0,4762989826","0,6301984287","0,8649197736","0,744035678","0,2195366598","0,6674232983","0,2348948184","0,2391480586","0,4579583501","0,4220218076","0,2872968069","0,03442161739","0,08015895977","0,04751925105","0,6095062857","0,8460075076","0,09422450889","0,9365755487","0,45717745","0,465662634","0,454159349","0,0653879059","0,04670956847","0,676394017","0,3758737818","0,2441648384"
SCRA_LT,Grade A (40% risk weight),"0,6219603369","0,2505356628","0,9008050451","0,5415772891","0,06476159279","0,1795677234","0,7752981049","0,5676834402","0,4911588189","0,5328709016","0,273602005","0,6114413424","0,006065219136","0,768760353","0,7170500294","0,4371087254","0,03488170381","0,7648737861","0,05088182463","0,3409460042","0,3876527781","0,4501166444","0,6289941113","0,5160890746","0,4879608546","0,7642561443","0,8933645305","0,08059676509","0,2393681046","0,4279832466","0,2476179652","0,2070580412","0,5695975404","0,393956134"
SCRA_LT,Grade B,"0,02596800553","0,737687869","0,05479264703","0,962818095","0,9109171127","0,8224614636","0,7820751403","0,5683010653","0,1140556788","0,1866085736","0,9900688294","0,4750926747","0,9271272864","0,7013023488","0,2213680962","0,406076177","0,7086644216","0,1211754699","0,4146529927","0,7286318179","0,7965027777","0,6553619537","0,2025664384","0,2782636429","0,4488110297","0,7234342439","0,5140624522","0,5426129399","0,849189628","0,6078144522","0,5660948367","0,5019096203","0,2865866184","0,9222455362"
SCRA_LT,Grade C,"0,6815976028","0,3073963038","0,7135146609","0,9592706673","0,9656670461","0,07182275586","0,2657464914","0,05468361719","0,1790121477","0,8788832237","0,1102793124","0,3913490695","0,470986688","0,9421342377","0,9911139367","0,5281726535","0,4972574807","0,7053212258","0,2029220842","0,6380520605","0,7074350092","0,6060971242","0,8713439076","0,4104453824","0,6273530863","0,5862894148","0,6485427834","0,3848905394","0,8846851989","0,7050698131","0,0009281234515","0,6914582755","0,1220930024","0,5522003264"
SCRA_LT,Cannot yet be assigned,"0,04295157979","0,7934303827","0,9391323981","0,05181279984","0,09740710343","0,6009040147","0,9910273591","0,9777046194","0,0383337764","0,2173506538","0,04159188778","0,9273316554","0,5283355757","0,004715820338","0,08822149374","0,6169298459","0,4896707872","0,8858738694","0,8207069582","0,1279518551","0,577586249","0,09197221126","0,551381001","0,6889556806","0,3930591","0,4619347225","0,8063795538","0,9422240947","0,6877841617","0,976894347","0,0442347967","0,6889194702","0,8425656005","0,4984573323"
,SCRA (short term),"0,7602668139","0,6647326315","0,5158688327","0,2056622242","0,4823049416","0,4393594479","0,04673843015","0,6397240438","0,386238666","0,6485717336","0,02610392616","0,8991906551","0,7994186498","0,02260802213","0,5622033535","0,2957425206","0,2603549655","0,4464049995","0,1979524952","0,4416704836","0,3919214678","0,5693000467","0,1891466551","0,9205853276","0,2956527081","0,9192931978","0,6533183653","0,7654975172","0,2807621253","0,103320186","0,05766543109","0,2344098389","0,215144121","0,2189329356"
SCRA_ST,Grade A,"0,6104419069","0,282140618","0,9244146845","0,6684070849","0,2259400985","0,2684664281","0,3558900616","0,8523212455","0,8619835164","0,2571795957","0,2866673571","0,5696797394","0,7135907342","0,9496049364","0,4366304679","0,2978997525","0,119991634","0,6438765492","0,06496566964","0,4360903504","0,5918008309","0,5295942258","0,3152696073","0,1834250384","0,5494766113","0,6335923606","0,8589331252","0,05905909167","0,09475141281","0,9848453276","0,1609283859","0,2942141019","0,3681646904","0,180790277"
