,PANEL,abscisse,ordinate,coord,H_Level_1,H_Level_2,V_Level_1,V_Level_2,V_Level_3,V_Level_4,Target,Modality,Level_1,Performed,Query_number,Result
0,A.1 General,30,15,AD15,Asset classes Detailed,Asset classes,SA-CCR,"CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","CCR exposures evaluated under previous non-internal method (CEM, SM, OEM) (if applicable)","Exposures
(post-CCF, post-CRM)",E23,,,False,,
1,A.1 General,15,19,O19,,"Sovereigns, PSEs, MDBs; of which:",Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,"Sovereigns, PSEs, MDBs; of which:",Categorie_template_1,False,,
2,A.1 General,16,19,P19,,"Sovereigns, PSEs, MDBs; of which:",Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,"Sovereigns, PSEs, MDBs; of which:",Categorie_template_1,False,,
3,A.1 General,3,20,C20,,sovereigns,Amounts applying national rules at the reporting date,Exposures post substitution,,,,sovereigns,Categorie_template_2,False,,
4,A.1 General,4,20,D20,,sovereigns,Amounts applying national rules at the reporting date,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E1,sovereigns,Categorie_template_2,False,,
5,A.1 General,5,20,E20,,sovereigns,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,Total,E2,sovereigns,Categorie_template_2,False,,
6,A.1 General,6,20,F20,,sovereigns,Amounts applying national rules at the reporting date,Exposures post substitution,CCR,of which: CCR internal models,E3,sovereigns,Categorie_template_2,False,,
7,A.1 General,7,20,G20,,sovereigns,Amounts applying national rules at the reporting date,Exposures post substitution,,,,sovereigns,Categorie_template_2,False,,
8,A.1 General,8,20,H20,,sovereigns,Amounts applying national rules at the reporting date,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E4,sovereigns,Categorie_template_2,False,,
9,A.1 General,10,20,J20,,sovereigns,Amounts applying national rules at the reporting date,RWA,On-balance sheet exposures,On-balance sheet exposures,E6,sovereigns,Categorie_template_2,False,,
10,A.1 General,11,20,K20,,sovereigns,Amounts applying national rules at the reporting date,RWA,CCR,CCR,E7,sovereigns,Categorie_template_2,False,,
11,A.1 General,12,20,L20,,sovereigns,Amounts applying national rules at the reporting date,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E8,sovereigns,Categorie_template_2,False,,
12,A.1 General,15,20,O20,,sovereigns,Amounts applying national rules at the reporting date,Provisions,Specific provisions,Specific provisions,E11,sovereigns,Categorie_template_2,False,,
13,A.1 General,16,20,P20,,sovereigns,Amounts applying national rules at the reporting date,Provisions,General provisions,General provisions,E12,sovereigns,Categorie_template_2,False,,
14,A.1 General,17,20,Q20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,sovereigns,Categorie_template_2,False,,
15,A.1 General,18,20,R20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,On-balance sheet exposures (post-CRM),On-balance sheet exposures (post-CRM),E13,sovereigns,Categorie_template_2,False,,
16,A.1 General,19,20,S20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,Total,E14,sovereigns,Categorie_template_2,False,,
17,A.1 General,20,20,T20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,CCR,of which: CCR internal models,E15,sovereigns,Categorie_template_2,False,,
18,A.1 General,21,20,U20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,,,,sovereigns,Categorie_template_2,False,,
19,A.1 General,22,20,V20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,Exposures post substitution,Off-balance sheet exposures (post-CCF post-CRM),Off-balance sheet exposures (post-CCF post-CRM),E16,sovereigns,Categorie_template_2,False,,
20,A.1 General,24,20,X20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,RWA,On-balance sheet exposures,On-balance sheet exposures,E18,sovereigns,Categorie_template_2,False,,
21,A.1 General,25,20,Y20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,RWA,CCR,CCR,E19,sovereigns,Categorie_template_2,False,,
22,A.1 General,26,20,Z20,,sovereigns,Amounts applying revised rules for SA and for CCR exposures,RWA,Off-balance sheet exposures,Off-balance sheet exposures,E20,sovereigns,Categorie_template_2,False,,
